OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 154,2018-061F,2023-03-26T16:50:34.225728,14.34221974,.0002324,86.4048,189.2592,90.1056,270.0406,0,U,43574,999,24449,.20008E-3,.58E-5,0
IRIDIUM 163,2018-061G,2023-03-26T19:44:06.543744,14.34217356,.0002482,86.4046,189.1605,100.5280,259.6196,0,U,43575,999,24448,.24271E-3,.7E-5,0
IRIDIUM 156,2018-061H,2023-03-27T05:10:22.039968,14.34225383,.0002173,86.4046,189.0025,105.0011,255.1425,0,U,43576,999,24452,.23469E-3,.677E-5,0
IRIDIUM 164,2018-061J,2023-03-26T20:20:38.395968,14.34215071,.0002335,86.4048,189.1779,95.5186,264.6276,0,U,43577,999,24452,.23628E-3,.681E-5,0
IRIDIUM 159,2018-061K,2023-03-26T19:34:58.653696,14.34219552,.0002153,86.4044,189.1531,93.6453,266.4989,0,U,43578,999,24448,.24624E-3,.709E-5,0
IRIDIUM 180,2019-002A,2023-03-27T03:56:34.811520,14.34217292,.0002416,86.3947,125.9707,92.6388,267.5084,0,U,43922,999,22018,.18007E-4,.7E-6,0
IRIDIUM 176,2019-002B,2023-03-26T14:22:29.365536,14.72254320,.0002391,86.6078,126.2488,100.2129,259.9357,0,U,43923,999,22584,.30353E-3,.1939E-4,0
IRIDIUM 168,2019-002C,2023-03-27T03:47:26.482560,14.34221140,.000232,86.3950,126.0174,90.2191,269.9271,0,U,43924,999,22012,.17769E-3,.517E-5,0
IRIDIUM 173,2019-002D,2023-03-26T20:47:18.628512,14.34222862,.0002446,86.3947,126.0765,90.6132,269.5344,0,U,43925,999,22006,.1825E-3,.531E-5,0
IRIDIUM 169,2019-002E,2023-03-26T21:47:27.043296,14.38607113,.0001636,86.4273,157.6407,249.1268,110.9755,0,U,43926,999,22082,.22655E-3,.713E-5,0
IRIDIUM 172,2019-002F,2023-03-26T20:38:10.766112,14.34216223,.0002337,86.3947,126.0834,92.1874,267.9589,0,U,43927,999,22007,.14332E-4,.6E-6,0
IRIDIUM 175,2019-002G,2023-03-26T20:44:41.485920,14.72248392,.0002444,86.1487,124.6043,99.0730,261.0763,0,U,43928,999,22587,.29147E-3,.1863E-4,0
IRIDIUM 171,2019-002H,2023-03-26T21:51:14.565600,14.34222658,.0002419,86.3956,126.2378,90.4131,269.7342,0,U,43929,999,22007,.17986E-3,.524E-5,0
IRIDIUM 170,2019-002J,2023-03-26T19:25:01.132032,14.72260169,.0002473,86.6078,126.1660,97.3146,262.8352,0,U,43930,999,22588,.28444E-3,.1819E-4,0
IRIDIUM 167,2019-002K,2023-03-26T20:01:38.764416,14.34218660,.0002501,86.3948,126.1060,90.2253,269.9230,0,U,43931,999,22006,.18261E-3,.531E-5,0
