,start,end,duration,timedelta,seconds
85,2024-01-04 08:28:05+00:00,2024-01-04 08:28:34+00:00,29.0,1 days 14:08:01,137281.0
86,2024-01-04 08:29:05+00:00,2024-01-04 08:29:34+00:00,29.0,1 days 14:09:01,137341.0
87,2024-01-04 08:30:06+00:00,2024-01-04 08:30:34+00:00,28.0,1 days 14:10:02,137402.0
88,2024-01-04 08:31:06+00:00,2024-01-04 08:31:35+00:00,29.0,1 days 14:11:02,137462.0
89,2024-01-04 08:32:07+00:00,2024-01-04 08:32:35+00:00,28.0,1 days 14:12:03,137523.0
90,2024-01-04 08:33:07+00:00,2024-01-04 08:33:35+00:00,28.0,1 days 14:13:03,137583.0
91,2024-01-04 08:34:08+00:00,2024-01-04 08:34:36+00:00,28.0,1 days 14:14:04,137644.0
92,2024-01-04 08:35:08+00:00,2024-01-04 08:35:36+00:00,28.0,1 days 14:15:04,137704.0
93,2024-01-04 14:45:04+00:00,2024-01-04 14:45:33+00:00,29.0,1 days 20:25:00,159900.0
94,2024-01-04 14:46:04+00:00,2024-01-04 14:46:33+00:00,29.0,1 days 20:26:00,159960.0
95,2024-01-04 14:47:05+00:00,2024-01-04 14:47:33+00:00,28.0,1 days 20:27:01,160021.0
96,2024-01-04 14:48:05+00:00,2024-01-04 14:48:34+00:00,29.0,1 days 20:28:01,160081.0
97,2024-01-04 14:49:06+00:00,2024-01-04 14:49:34+00:00,28.0,1 days 20:29:02,160142.0
98,2024-01-04 14:50:06+00:00,2024-01-04 14:50:35+00:00,29.0,1 days 20:30:02,160202.0
99,2024-01-04 14:51:07+00:00,2024-01-04 14:51:35+00:00,28.0,1 days 20:31:03,160263.0
100,2024-01-04 14:52:07+00:00,2024-01-04 14:52:35+00:00,28.0,1 days 20:32:03,160323.0
101,2024-01-04 14:53:08+00:00,2024-01-04 14:53:36+00:00,28.0,1 days 20:33:04,160384.0
102,2024-01-04 14:54:08+00:00,2024-01-04 14:54:36+00:00,28.0,1 days 20:34:04,160444.0
103,2024-01-04 14:55:09+00:00,2024-01-04 14:55:36+00:00,27.0,1 days 20:35:05,160505.0
105,2024-01-05 11:11:06+00:00,2024-01-05 11:11:24+00:00,18.0,2 days 16:51:02,233462.0
106,2024-01-05 11:12:07+00:00,2024-01-05 11:12:24+00:00,17.0,2 days 16:52:03,233523.0
107,2024-01-05 11:13:08+00:00,2024-01-05 11:13:23+00:00,15.0,2 days 16:53:04,233584.0
108,2024-01-05 11:14:09+00:00,2024-01-05 11:14:23+00:00,14.0,2 days 16:54:05,233645.0
109,2024-01-05 11:15:11+00:00,2024-01-05 11:15:22+00:00,11.0,2 days 16:55:07,233707.0
110,2024-01-05 11:16:13+00:00,2024-01-05 11:16:20+00:00,7.0,2 days 16:56:09,233769.0
111,2024-01-05 17:30:07+00:00,2024-01-05 17:30:23+00:00,16.0,2 days 23:10:03,256203.0
112,2024-01-05 17:31:08+00:00,2024-01-05 17:31:22+00:00,14.0,2 days 23:11:04,256264.0
113,2024-01-05 17:32:09+00:00,2024-01-05 17:32:21+00:00,12.0,2 days 23:12:05,256325.0
114,2024-01-05 17:33:11+00:00,2024-01-05 17:33:20+00:00,9.0,2 days 23:13:07,256387.0
115,2024-01-05 17:34:14+00:00,2024-01-05 17:34:18+00:00,4.0,2 days 23:14:10,256450.0
116,2024-01-05 23:52:04+00:00,2024-01-05 23:52:29+00:00,25.0,3 days 05:32:00,279120.0
117,2024-01-05 23:53:05+00:00,2024-01-05 23:53:29+00:00,24.0,3 days 05:33:01,279181.0
118,2024-01-05 23:54:05+00:00,2024-01-05 23:54:29+00:00,24.0,3 days 05:34:01,279241.0
119,2024-01-05 23:55:06+00:00,2024-01-05 23:55:29+00:00,23.0,3 days 05:35:02,279302.0
