CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:43:56.346
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = SAT2
OBJECT_ID = SAT2

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.063410  0.011985 -0.000000 0.997916
60311 44792.0  0.126430 -0.746968  0.000000 0.652728
60311 44802.0  0.125933 -0.750661  0.000000 0.648574
60311 44812.0  0.125418 -0.754332  0.000000 0.644401
60311 44822.0  0.124885 -0.757982  0.000000 0.640209
60311 44832.0  0.124333 -0.761609  0.000000 0.635998
60311 44842.0  0.123762 -0.765214  0.000000 0.631768
60311 44852.0  0.123172 -0.768797  0.000000 0.627519
60311 44862.0  0.122562 -0.772357  0.000000 0.623252
60311 44872.0  0.121933 -0.775895  0.000000 0.618966
60311 44882.0  0.121283 -0.779411  0.000000 0.614662
60311 44892.0  0.120613 -0.782904  0.000000 0.610340
60311 44902.0  0.119922 -0.786374  0.000000 0.605999
60311 44912.0  0.119210 -0.789821  0.000000 0.601641
60311 44922.0  0.118477 -0.793245  0.000000 0.597265
60311 44932.0  0.117722 -0.796646  0.000000 0.592872
60311 44942.0  0.116944 -0.800024  0.000000 0.588461
60311 44952.0  0.116144 -0.803378  0.000000 0.584032
60311 44962.0  0.115321 -0.806710  0.000000 0.579587
60311 44972.0  0.114474 -0.810017  0.000000 0.575124
60311 44982.0  0.113603 -0.813301  0.000000 0.570645
60311 44992.0  0.112708 -0.816561  0.000000 0.566149
60311 45002.0  0.111788 -0.819797  0.000000 0.561637
60311 45012.0  0.110842 -0.823010  0.000000 0.557108
60311 45022.0  0.109871 -0.826198  0.000000 0.552563
60311 45032.0  0.108873 -0.829362  0.000000 0.548001
60311 45042.0  0.107849 -0.832501  0.000000 0.543424
60311 45052.0  0.106796 -0.835617  0.000000 0.538832
60311 45062.0  0.105716 -0.838707  0.000000 0.534223
60311 45072.0  0.104607 -0.841773  0.000000 0.529599
60311 45082.0  0.103468 -0.844814  0.000000 0.524960
60311 45092.0  0.102300 -0.847831  0.000000 0.520306
60311 45102.0  0.101100 -0.850822  0.000000 0.515637
60311 45112.0  0.099870 -0.853788  0.000000 0.510953
60311 45122.0  0.098606 -0.856728  0.000000 0.506254
60311 45132.0  0.097310 -0.859644  0.000000 0.501541
60311 45142.0  0.095981 -0.862533  0.000000 0.496814
60311 45152.0  0.094616 -0.865397  0.000000 0.492072
60311 45162.0  0.093216 -0.868235  0.000000 0.487317
60311 45172.0  0.091779 -0.871047  0.000000 0.482548
