CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:49:48.040
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 168
OBJECT_ID = IRIDIUM 168

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 45652.0 -0.674747  0.525831  0.000000 0.517899
60311 45662.0 -0.676871  0.527464  0.000000 0.513446
60311 45672.0 -0.678977  0.529084  0.000000 0.508980
60311 45682.0 -0.681065  0.530688  0.000000 0.504500
60311 45692.0 -0.683135  0.532279  0.000000 0.500007
60311 45702.0 -0.685186  0.533854  0.000000 0.495500
60311 45712.0 -0.687219  0.535415  0.000000 0.490979
60311 45722.0 -0.689234  0.536961  0.000000 0.486446
60311 45732.0 -0.691230  0.538492  0.000000 0.481899
60311 45742.0 -0.693208  0.540009  0.000000 0.477339
60311 45752.0 -0.695167  0.541511  0.000000 0.472767
60311 45762.0 -0.697108  0.542997  0.000000 0.468182
60311 45772.0 -0.699031  0.544469  0.000000 0.463584
60311 45782.0 -0.700934  0.545926  0.000000 0.458973
60311 45792.0 -0.702819  0.547367  0.000000 0.454351
60311 45802.0 -0.704685  0.548794  0.000000 0.449716
60311 45812.0 -0.706533  0.550205  0.000000 0.445068
60311 45822.0 -0.708361  0.551601  0.000000 0.440409
60311 45832.0 -0.710171  0.552982  0.000000 0.435738
60311 45842.0 -0.711962  0.554347  0.000000 0.431056
60311 45852.0 -0.713734  0.555698  0.000000 0.426361
60311 45862.0 -0.715487  0.557032  0.000000 0.421655
60311 45872.0 -0.717221  0.558351  0.000000 0.416938
60311 45882.0 -0.718936  0.559655  0.000000 0.412210
60311 45892.0 -0.720632  0.560943  0.000000 0.407470
60311 45902.0 -0.722309  0.562216  0.000000 0.402720
60311 45912.0 -0.723967  0.563473  0.000000 0.397958
60311 45922.0 -0.725605  0.564714  0.000000 0.393186
60311 45932.0 -0.727225  0.565939  0.000000 0.388403
60311 45942.0 -0.728825  0.567149  0.000000 0.383610
60311 45952.0 -0.730406  0.568343  0.000000 0.378807
60311 45962.0 -0.731967  0.569520  0.000000 0.373993
60311 45972.0 -0.733510  0.570682  0.000000 0.369169
60311 45982.0 -0.735033  0.571828  0.000000 0.364335
60311 45992.0 -0.736536  0.572957  0.000000 0.359491
60311 46002.0 -0.738021  0.574071  0.000000 0.354638
60311 46012.0 -0.739486  0.575168  0.000000 0.349775
60311 46022.0 -0.740931  0.576249  0.000000 0.344903
60311 46032.0 -0.742357  0.577314  0.000000 0.340021
60311 46042.0 -0.743764  0.578362  0.000000 0.335130
60311 46052.0 -0.745152  0.579394  0.000000 0.330230
60311 46062.0 -0.746519  0.580409  0.000000 0.325321
60311 46072.0 -0.747868  0.581408  0.000000 0.320404
60311 46082.0 -0.749197  0.582390  0.000000 0.315477
60311 46092.0 -0.750507  0.583355  0.000000 0.310543
60311 46102.0 -0.751797  0.584304  0.000000 0.305599
60311 46112.0 -0.753067  0.585235  0.000000 0.300648
60311 46122.0 -0.754319  0.586150  0.000000 0.295688
60311 46132.0 -0.755551  0.587047  0.000000 0.290721
60311 46142.0 -0.756763  0.587928  0.000000 0.285745
60311 46152.0 -0.757956  0.588791  0.000000 0.280762
60311 46162.0 -0.759130  0.589637  0.000000 0.275772
60311 46172.0 -0.760284  0.590465  0.000000 0.270773
60311 46182.0 -0.761420  0.591276  0.000000 0.265768
60311 46192.0 -0.762536  0.592069  0.000000 0.260755
60311 46202.0 -0.763632  0.592845  0.000000 0.255735
60311 46212.0 -0.764710  0.593602  0.000000 0.250709
60311 46222.0 -0.765768  0.594342  0.000000 0.245675
60311 46232.0 -0.766808  0.595063  0.000000 0.240635
60311 46242.0 -0.767829  0.595766  0.000000 0.235588
60311 46252.0 -0.768830  0.596451  0.000000 0.230535
60311 46262.0 -0.769813  0.597116  0.000000 0.225476
60311 46272.0 -0.770778  0.597763  0.000000 0.220411
60311 46282.0 -0.771723  0.598391  0.000000 0.215339
60311 46292.0 -0.772651  0.598999  0.000000 0.210262
60311 46302.0 -0.773560  0.599588  0.000000 0.205179
60311 46312.0 -0.774451  0.600157  0.000000 0.200091
60311 46322.0 -0.775325  0.600706  0.000000 0.194997
60311 46332.0 -0.776181  0.601234  0.000000 0.189898
60311 46342.0 -0.777019  0.601742  0.000000 0.184793
60311 46352.0 -0.777840  0.602228  0.000000 0.179684
60311 46362.0 -0.778645  0.602692  0.000000 0.174569
60311 46372.0 -0.779433  0.603134  0.000000 0.169450
60311 46382.0 -0.780205  0.603553  0.000000 0.164327
60311 46392.0 -0.780962  0.603949  0.000000 0.159199
60311 46402.0 -0.781704  0.604320  0.000000 0.154066
60311 46412.0 -0.782431  0.604667  0.000000 0.148930
60311 46422.0 -0.783144  0.604987  0.000000 0.143789
60311 46432.0 -0.783845  0.605281  0.000000 0.138644
60311 46442.0 -0.784534  0.605546  0.000000 0.133496
60311 46452.0 -0.785212  0.605781  0.000000 0.128344
60311 46462.0 -0.785880  0.605985  0.000000 0.123188
60311 46472.0 -0.786540  0.606155  0.000000 0.118029
60311 46482.0 -0.787194  0.606290  0.000000 0.112867
60311 46492.0 -0.787843  0.606385  0.000000 0.107701
60311 46502.0 -0.788491  0.606439  0.000000 0.102533
60311 46512.0 -0.789140  0.606447  0.000000 0.097362
60311 46522.0 -0.789795  0.606404  0.000000 0.092188
60311 46532.0 -0.790459  0.606303  0.000000 0.087012
60311 46542.0 -0.791139  0.606137  0.000000 0.081833
60311 46552.0 -0.791843  0.605896  0.000000 0.076653
60311 46562.0 -0.792579  0.605567  0.000000 0.071470
60311 46572.0 -0.793360  0.605133  0.000000 0.066285
60311 46582.0 -0.794204  0.604572  0.000000 0.061098
60311 46592.0 -0.795133  0.603852  0.000000 0.055909
60311 46602.0 -0.796180  0.602930  0.000000 0.050719
60311 46612.0 -0.797392  0.601742  0.000000 0.045528
60311 46622.0 -0.798839  0.600191  0.000000 0.040336
60311 46632.0 -0.800634  0.598122  0.000000 0.035143
60311 46642.0 -0.802967  0.595271  0.000000 0.029949
60311 46652.0 -0.806181  0.591151  0.000000 0.024754
60311 46662.0 -0.810977  0.584751  0.000000 0.019560
60311 46672.0 -0.819029  0.573572  0.000000 0.014368
60311 46682.0 -0.835563  0.549318  0.000000 0.009181
60311 46692.0 -0.888586  0.458692  0.000000 0.004022
60311 46702.0  0.361124 -0.932517  0.000000 0.001452
60311 46712.0  0.712444 -0.701699  0.000000 0.006488
60311 46722.0  0.747368 -0.664308  0.000000 0.011667
60311 46732.0  0.760245 -0.649418  0.000000 0.016858
60311 46742.0  0.766892 -0.641397  0.000000 0.022052
60311 46752.0  0.770912 -0.636358  0.000000 0.027247
60311 46762.0  0.773575 -0.632874  0.000000 0.032442
60311 46772.0  0.775439 -0.630300  0.000000 0.037637
60311 46782.0  0.776790 -0.628301  0.000000 0.042831
60311 46792.0  0.777790 -0.626687  0.000000 0.048025
60311 46802.0  0.778536 -0.625340  0.000000 0.053217
60311 46812.0  0.779090 -0.624185  0.000000 0.058408
60311 46822.0  0.779495 -0.623172  0.000000 0.063597
60311 46832.0  0.779780 -0.622264  0.000000 0.068785
60311 46842.0  0.779965 -0.621436  0.000000 0.073972
60311 46852.0  0.780067 -0.620669  0.000000 0.079156
60311 46862.0  0.780097 -0.619949  0.000000 0.084338
60311 46872.0  0.780063 -0.619264  0.000000 0.089519
60311 46882.0  0.779973 -0.618607  0.000000 0.094696
60311 46892.0  0.779832 -0.617971  0.000000 0.099872
60311 46902.0  0.779645 -0.617349  0.000000 0.105045
60311 46912.0  0.779415 -0.616738  0.000000 0.110215
60311 46922.0  0.779145 -0.616133  0.000000 0.115382
60311 46932.0  0.778837 -0.615533  0.000000 0.120547
60311 46942.0  0.778495 -0.614934  0.000000 0.125708
60311 46952.0  0.778118 -0.614334  0.000000 0.130866
60311 46962.0  0.777709 -0.613732  0.000000 0.136020
60311 46972.0  0.777270 -0.613125  0.000000 0.141171
60311 46982.0  0.776800 -0.612513  0.000000 0.146318
60311 46992.0  0.776301 -0.611895  0.000000 0.151461
60311 47002.0  0.775774 -0.611269  0.000000 0.156601
60311 47012.0  0.775220 -0.610635  0.000000 0.161736
60311 47022.0  0.774638 -0.609992  0.000000 0.166867
60311 47032.0  0.774031 -0.609340  0.000000 0.171993
60311 47042.0  0.773397 -0.608676  0.000000 0.177115
60311 47052.0  0.772738 -0.608003  0.000000 0.182233
60311 47062.0  0.772054 -0.607317  0.000000 0.187345
60311 47072.0  0.771345 -0.606621  0.000000 0.192453
60311 47082.0  0.770612 -0.605912  0.000000 0.197555
60311 47092.0  0.769855 -0.605191  0.000000 0.202652
60311 47102.0  0.769073 -0.604457  0.000000 0.207744
60311 47112.0  0.768269 -0.603711  0.000000 0.212831
60311 47122.0  0.767440 -0.602951  0.000000 0.217911
60311 47132.0  0.766589 -0.602178  0.000000 0.222986
60311 47142.0  0.765714 -0.601392  0.000000 0.228055
60311 47152.0  0.764817 -0.600592  0.000000 0.233118
60311 47162.0  0.763897 -0.599778  0.000000 0.238175
