,start,end,duration,timedelta,seconds
134,2024-01-02 15:36:30+00:00,2024-01-02 15:36:33+00:00,3.0,0 days 03:34:32,12872.0
135,2024-01-02 15:37:30+00:00,2024-01-02 15:37:33+00:00,3.0,0 days 03:35:32,12932.0
136,2024-01-02 15:38:31+00:00,2024-01-02 15:38:33+00:00,2.0,0 days 03:36:33,12993.0
137,2024-01-02 15:39:20+00:00,2024-01-02 15:39:22+00:00,2.0,0 days 03:37:22,13042.0
138,2024-01-02 15:40:20+00:00,2024-01-02 15:40:22+00:00,2.0,0 days 03:38:22,13102.0
139,2024-01-02 15:41:20+00:00,2024-01-02 15:41:22+00:00,2.0,0 days 03:39:22,13162.0
140,2024-01-02 15:42:14+00:00,2024-01-02 15:42:15+00:00,1.0,0 days 03:40:16,13216.0
141,2024-01-02 15:42:20+00:00,2024-01-02 15:42:22+00:00,2.0,0 days 03:40:22,13222.0
143,2024-01-02 15:43:19+00:00,2024-01-02 15:43:21+00:00,2.0,0 days 03:41:21,13281.0
144,2024-01-02 15:44:13+00:00,2024-01-02 15:44:14+00:00,1.0,0 days 03:42:15,13335.0
145,2024-01-02 15:44:19+00:00,2024-01-02 15:44:21+00:00,2.0,0 days 03:42:21,13341.0
146,2024-01-02 15:45:13+00:00,2024-01-02 15:45:14+00:00,1.0,0 days 03:43:15,13395.0
147,2024-01-02 15:45:19+00:00,2024-01-02 15:45:21+00:00,2.0,0 days 03:43:21,13401.0
148,2024-01-02 15:46:12+00:00,2024-01-02 15:46:15+00:00,3.0,0 days 03:44:14,13454.0
149,2024-01-02 15:46:19+00:00,2024-01-02 15:46:21+00:00,2.0,0 days 03:44:21,13461.0
150,2024-01-02 15:47:12+00:00,2024-01-02 15:47:15+00:00,3.0,0 days 03:45:14,13514.0
151,2024-01-02 15:48:11+00:00,2024-01-02 15:48:16+00:00,5.0,0 days 03:46:13,13573.0
152,2024-01-02 15:49:11+00:00,2024-01-02 15:49:16+00:00,5.0,0 days 03:47:13,13633.0
153,2024-01-02 15:50:10+00:00,2024-01-02 15:50:12+00:00,2.0,0 days 03:48:12,13692.0
154,2024-01-02 15:50:14+00:00,2024-01-02 15:50:16+00:00,2.0,0 days 03:48:16,13696.0
155,2024-01-02 15:51:10+00:00,2024-01-02 15:51:12+00:00,2.0,0 days 03:49:12,13752.0
156,2024-01-02 15:52:10+00:00,2024-01-02 15:52:11+00:00,1.0,0 days 03:50:12,13812.0
157,2024-01-02 15:53:09+00:00,2024-01-02 15:53:11+00:00,2.0,0 days 03:51:11,13871.0
158,2024-01-02 15:54:09+00:00,2024-01-02 15:54:11+00:00,2.0,0 days 03:52:11,13931.0
159,2024-01-02 15:55:08+00:00,2024-01-02 15:55:10+00:00,2.0,0 days 03:53:10,13990.0
160,2024-01-02 15:56:08+00:00,2024-01-02 15:56:10+00:00,2.0,0 days 03:54:10,14050.0
